seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage
private,offer,7800,control,coupe,2006,automatic,143,c_klasse,125000,3,petrol,mercedes_benz,no
private,offer,12250,control,limousine,2011,manual,122,1er,50000,6,petrol,bmw,no
private,offer,3750,test,coupe,2000,manual,150,3er,150000,4,petrol,bmw,no
private,offer,2800,test,small car,2004,manual,87,yaris,80000,1,petrol,toyota,no
private,offer,950,control,limousine,1999,manual,102,e_klasse,150000,1,diesel,mercedes_benz,no
private,offer,18990,control,limousine,2009,automatic,156,c_klasse,80000,9,petrol,mercedes_benz,no
private,offer,9300,test,coupe,1979,manual,63,golf,125000,5,petrol,opel,no
private,offer,2400,control,limousine,2003,manual,105,golf,150000,4,petrol,volkswagen,no
private,offer,1500,control,small car,1999,manual,75,3_reihe,150000,9,petrol,peugeot,no
private,offer,4599,control,limousine,1998,manual,193,3er,150000,5,petrol,bmw,no
private,offer,19000,control,suv,2010,automatic,152,freelander,90000,5,diesel,land_rover,no
private,offer,475,test,small car,1996,manual,50,polo,150000,7,petrol,volkswagen,no
private,offer,3400,test,station wagon,2002,automatic,163,a4,150000,11,diesel,audi,no
private,offer,7000,control,limousine,2007,manual,110,golf,100000,0,diesel,sonstige_autos,no
private,offer,550,test,limousine,1997,manual,75,golf,150000,6,petrol,volkswagen,no
private,offer,17499,control,cabrio,2007,manual,184,clk,60000,10,petrol,mercedes_benz,no
private,offer,6190,control,limousine,2004,automatic,163,c_klasse,150000,8,petrol,mercedes_benz,no
private,offer,11300,test,limousine,2006,manual,200,golf,90000,8,petrol,volkswagen,no
private,offer,17500,control,cabrio,2011,automatic,160,golf,50000,8,petrol,volkswagen,no
private,offer,600,control,limousine,1998,manual,136,e_klasse,150000,2,petrol,mercedes_benz,no
private,offer,850,control,small car,2000,manual,60,golf,150000,0,petrol,peugeot,no
private,offer,2500,control,station wagon,2005,manual,125,forester,150000,5,petrol,subaru,no
private,offer,6199,control,limousine,2016,manual,116,cooper,90000,0,petrol,mini,no
private,offer,3500,test,station wagon,2002,automatic,198,5er,150000,10,diesel,bmw,yes
private,offer,1350,test,limousine,1999,manual,101,golf,150000,4,petrol,volkswagen,yes
private,offer,1950,control,station wagon,2002,manual,75,golf,150000,9,petrol,volkswagen,no
private,offer,1400,test,limousine,2017,manual,122,golf,150000,7,petrol,mercedes_benz,no
private,offer,2000,test,station wagon,1999,manual,101,astra,150000,12,petrol,opel,no
private,offer,3700,control,limousine,2016,manual,140,a_klasse,150000,10,diesel,mercedes_benz,no
private,offer,2200,test,coupe,2001,manual,192,astra,150000,2,petrol,opel,no
private,offer,3499,control,coupe,1999,manual,170,3er,150000,11,petrol,bmw,no
private,offer,4800,control,limousine,2006,manual,102,golf,150000,11,petrol,volkswagen,no
private,offer,1350,test,bus,2003,manual,128,others,150000,4,diesel,citroen,no
private,offer,15300,control,cabrio,2010,manual,140,a3,125000,6,diesel,audi,no
private,offer,1150,test,station wagon,1991,manual,90,passat,150000,4,petrol,volkswagen,no
private,offer,22800,test,suv,2011,automatic,241,grand,150000,6,diesel,jeep,no
private,offer,2600,control,limousine,2017,manual,90,golf,150000,7,petrol,volkswagen,no
private,offer,1550,test,bus,1998,automatic,158,voyager,150000,10,petrol,chrysler,no
private,offer,2500,control,limousine,2003,manual,64,polo,150000,4,petrol,volkswagen,no
private,offer,3150,control,limousine,2017,manual,106,golf,150000,3,petrol,volkswagen,no
private,offer,9450,test,small car,2010,manual,120,fiesta,50000,9,petrol,ford,no
private,offer,2550,test,small car,2006,manual,88,clio,150000,1,petrol,renault,no
private,offer,11800,control,station wagon,2010,automatic,140,a3,150000,1,diesel,audi,no
private,offer,3980,control,small car,2009,manual,64,polo,150000,1,petrol,volkswagen,no
private,offer,4900,control,cabrio,1997,automatic,193,slk,150000,8,petrol,mercedes_benz,no
private,offer,7300,control,small car,2009,automatic,95,others,60000,10,petrol,alfa_romeo,no
private,offer,7400,control,cabrio,2007,manual,150,astra,125000,4,diesel,opel,no
private,offer,3900,test,station wagon,2001,manual,193,passat,150000,10,petrol,volkswagen,no
private,offer,1990,control,small car,2003,manual,65,micra,125000,11,petrol,nissan,no
private,offer,500,test,limousine,1997,manual,90,golf,150000,5,petrol,volkswagen,no
private,offer,8700,test,limousine,2016,manual,110,golf,150000,8,diesel,volkswagen,no
private,offer,3900,test,station wagon,2003,automatic,148,c_klasse,150000,11,petrol,mercedes_benz,no
private,offer,22900,control,cabrio,1972,automatic,200,sl,150000,0,petrol,mercedes_benz,no
private,offer,5500,control,suv,2004,manual,204,x_reihe,150000,4,diesel,bmw,no
private,offer,16000,test,suv,2007,automatic,235,x_reihe,150000,7,diesel,bmw,no
private,offer,4600,test,small car,2009,manual,76,twingo,20000,2,petrol,renault,yes
private,offer,1200,control,limousine,1994,manual,136,c_klasse,100000,3,petrol,mercedes_benz,no
private,offer,7000,control,limousine,2004,automatic,150,3er,150000,9,diesel,bmw,no
private,offer,15000,test,station wagon,2008,manual,143,3er,150000,5,diesel,bmw,no
private,offer,1590,control,small car,2001,manual,60,fabia,150000,9,petrol,skoda,no
private,offer,13999,control,station wagon,2010,manual,184,3er,150000,9,diesel,bmw,no
private,offer,2200,test,coupe,1997,manual,141,others,5000,1,petrol,mitsubishi,no
private,offer,4400,test,others,2009,manual,104,logan,90000,4,petrol,dacia,no
private,offer,9000,test,cabrio,2011,manual,69,500,30000,11,petrol,fiat,no
private,offer,450,test,small car,2000,automatic,75,punto,150000,8,petrol,fiat,no
private,offer,1650,test,bus,2003,manual,90,berlingo,150000,9,diesel,citroen,no
private,offer,6599,control,suv,2006,automatic,218,others,150000,12,diesel,jeep,no
private,offer,7499,control,limousine,1997,automatic,231,s_klasse,125000,7,petrol,mercedes_benz,no
private,offer,4000,control,coupe,2000,manual,193,3er,150000,2,petrol,bmw,no
private,offer,3000,test,limousine,2002,manual,131,passat,150000,2,diesel,volkswagen,no
private,offer,1799,test,small car,1999,manual,60,2_reihe,150000,2,petrol,peugeot,no
private,offer,12950,test,bus,2009,manual,175,galaxy,125000,9,diesel,ford,no
private,offer,33000,control,bus,2013,manual,103,sharan,40000,9,diesel,volkswagen,no
private,offer,21500,control,limousine,2010,automatic,231,c_klasse,70000,1,petrol,mercedes_benz,no
private,offer,1000,control,small car,2003,manual,58,agila,150000,9,petrol,opel,no
private,offer,3500,test,bus,2003,manual,116,touran,150000,9,petrol,volkswagen,no
private,offer,5490,test,limousine,2006,automatic,105,golf,125000,5,diesel,volkswagen,no
private,offer,27950,control,limousine,2009,automatic,231,e_klasse,150000,7,diesel,mercedes_benz,no
private,offer,3699,test,cabrio,2004,manual,101,astra,125000,12,petrol,opel,no
private,offer,6200,test,suv,2009,manual,136,captiva,150000,7,petrol,chevrolet,no
private,offer,1150,test,small car,1998,manual,60,polo,150000,7,diesel,volkswagen,no
private,offer,4000,test,limousine,2007,manual,140,passat,150000,10,diesel,volkswagen,no
private,offer,750,control,bus,1999,automatic,139,scenic,125000,9,petrol,renault,no
private,offer,150,control,station wagon,1998,manual,115,mondeo,150000,0,petrol,ford,yes
private,offer,3500,test,small car,2003,manual,116,3er,150000,2,petrol,bmw,no
private,offer,7800,test,station wagon,2011,manual,160,a3,80000,3,petrol,audi,yes
private,offer,1000,test,small car,1997,manual,60,polo,150000,10,petrol,volkswagen,no
private,offer,3199,test,limousine,2008,manual,69,fiesta,150000,1,petrol,ford,no
private,offer,100,control,station wagon,1996,automatic,170,omega,150000,0,petrol,opel,yes
private,offer,500,control,limousine,1995,automatic,150,a6,150000,4,petrol,audi,yes
private,offer,1950,control,small car,2000,automatic,54,fortwo,125000,9,petrol,smart,no
private,offer,3950,test,limousine,2018,manual,143,3er,150000,5,petrol,bmw,no
private,offer,12600,test,coupe,2012,manual,122,scirocco,50000,2,petrol,volkswagen,no
private,offer,800,control,bus,1994,manual,60,transporter,150000,10,diesel,volkswagen,no
private,offer,13500,test,limousine,2012,manual,105,golf,150000,3,diesel,volkswagen,no
private,offer,4950,control,bus,2004,manual,105,touran,150000,10,diesel,volkswagen,no
private,offer,2600,test,coupe,2006,manual,109,c4,150000,7,petrol,citroen,no
private,offer,5400,control,limousine,2002,manual,150,3er,150000,4,diesel,bmw,no
private,offer,18999,control,bus,2007,manual,131,transporter,150000,5,diesel,volkswagen,no
private,offer,3990,test,limousine,2016,manual,54,polo,150000,4,petrol,volkswagen,no
private,offer,8000,control,limousine,2007,manual,141,qashqai,125000,4,petrol,nissan,no
private,offer,199,control,small car,2001,manual,60,ka,150000,2,petrol,ford,yes
private,offer,17777,control,station wagon,2012,manual,184,clubman,40000,3,petrol,mini,no
private,offer,4950,control,bus,2003,manual,115,sharan,150000,11,diesel,volkswagen,no
private,offer,3100,test,suv,2003,manual,124,others,150000,2,petrol,ford,no
private,offer,7777,test,small car,1972,manual,18,500,10000,3,petrol,fiat,no
private,offer,3990,test,station wagon,2004,manual,143,3er,150000,4,petrol,bmw,no
private,offer,1480,control,station wagon,1996,manual,75,astra,150000,0,petrol,opel,no
private,offer,600,test,limousine,1989,manual,75,80,150000,0,petrol,audi,no
private,offer,2399,test,limousine,2005,manual,111,scenic,150000,9,petrol,renault,no
private,offer,8200,control,limousine,2004,manual,250,others,70000,10,petrol,saab,no
private,offer,14999,control,cabrio,2008,manual,177,1er,150000,4,diesel,bmw,no
private,offer,750,test,small car,1999,manual,122,others,150000,8,petrol,ford,no
private,offer,15900,test,limousine,2011,automatic,116,a_klasse,40000,12,petrol,mercedes_benz,no
private,offer,1650,test,limousine,2017,manual,101,golf,150000,4,petrol,volkswagen,no
private,offer,7500,test,limousine,2011,automatic,160,insignia,40000,10,diesel,opel,no
private,offer,600,test,small car,1999,manual,75,clio,150000,1,petrol,renault,no
private,offer,41900,test,limousine,2014,automatic,310,others,40000,3,petrol,audi,no
private,offer,5900,test,limousine,1999,automatic,184,7er,150000,10,diesel,bmw,no
private,offer,2500,control,small car,2006,manual,86,clio,150000,4,diesel,renault,no
private,offer,1750,control,station wagon,2004,manual,101,golf,150000,11,diesel,volkswagen,no
private,offer,7500,test,station wagon,2004,manual,180,golf,150000,10,petrol,audi,no
private,offer,15600,test,limousine,2015,manual,86,golf,20000,2,petrol,volkswagen,no
private,offer,11300,control,bus,2012,manual,111,3_reihe,70000,2,diesel,peugeot,no
private,offer,3000,control,bus,2002,automatic,107,scenic,90000,0,petrol,renault,no
private,offer,8500,test,limousine,2005,manual,218,3er,150000,12,petrol,bmw,yes
private,offer,1050,control,small car,2001,manual,80,punto,150000,7,petrol,fiat,no
private,offer,850,test,limousine,1998,manual,75,megane,150000,3,petrol,renault,no
private,offer,1000,control,small car,1999,manual,50,clio,150000,6,petrol,renault,no
private,offer,1290,control,limousine,1996,manual,125,a4,150000,1,petrol,audi,no
private,offer,1999,test,station wagon,1998,manual,125,passat,150000,6,petrol,volkswagen,no
private,offer,1500,control,limousine,1995,manual,75,kadett,150000,0,petrol,opel,no
private,offer,5600,test,small car,2006,manual,160,ibiza,150000,6,diesel,seat,no
private,offer,2699,test,small car,2004,manual,101,corsa,150000,9,diesel,opel,no
private,offer,3999,control,limousine,2006,automatic,150,passat,150000,11,petrol,volkswagen,yes
private,offer,11500,control,station wagon,2005,automatic,224,a6,150000,9,diesel,audi,no
private,offer,550,control,small car,2000,manual,65,corsa,150000,4,petrol,opel,yes
private,offer,2500,test,small car,2003,manual,58,corsa,125000,5,petrol,opel,no
private,offer,4500,control,limousine,2005,manual,116,1er,150000,8,petrol,bmw,yes
private,offer,800,test,bus,1997,manual,150,voyager,150000,6,petrol,chrysler,no
private,offer,7500,control,station wagon,2002,manual,150,a4,125000,1,petrol,audi,no
private,offer,2200,test,coupe,1996,manual,90,others,150000,5,petrol,toyota,no
private,offer,300,test,limousine,1995,manual,102,3er,150000,6,petrol,bmw,no
private,offer,1390,test,small car,2002,manual,60,arosa,150000,1,diesel,seat,no
private,offer,4850,control,limousine,2017,manual,145,focus,150000,6,petrol,ford,no
private,offer,13500,control,station wagon,2011,automatic,140,passat,100000,3,diesel,volkswagen,no
private,offer,1550,control,station wagon,2001,manual,116,a4,150000,4,diesel,audi,no
private,offer,5100,test,small car,2009,manual,60,fiesta,100000,5,petrol,ford,no
private,offer,13800,control,cabrio,2003,automatic,231,z_reihe,70000,4,petrol,bmw,no
private,offer,2450,test,bus,1989,manual,69,transporter,150000,11,diesel,volkswagen,no
private,offer,1900,control,small car,2002,manual,58,corsa,150000,9,petrol,opel,no
private,offer,7999,control,station wagon,2008,automatic,122,c_klasse,150000,2,diesel,mercedes_benz,no
private,offer,29990,control,limousine,2013,automatic,204,e_klasse,50000,11,diesel,mercedes_benz,no
private,offer,4650,test,station wagon,2003,manual,177,e_klasse,150000,10,diesel,mercedes_benz,yes
private,offer,11990,test,station wagon,2011,manual,86,caddy,60000,6,petrol,volkswagen,no
private,offer,10000,test,bus,2004,manual,174,transporter,150000,2,diesel,volkswagen,no
private,offer,450,test,limousine,2016,manual,46,others,150000,3,diesel,peugeot,yes
private,offer,2799,test,small car,2006,manual,68,aygo,125000,4,petrol,toyota,yes
private,offer,799,test,small car,2008,manual,65,matiz,90000,8,petrol,chevrolet,yes
private,offer,2800,control,limousine,1996,automatic,125,a4,90000,11,petrol,audi,no
private,offer,9300,test,station wagon,2010,manual,105,golf,125000,10,diesel,volkswagen,no
private,offer,1000,test,coupe,1999,manual,90,others,150000,10,petrol,ford,no
private,offer,875,test,station wagon,2000,manual,116,focus,150000,5,petrol,ford,no
private,offer,10600,control,limousine,2010,manual,105,golf,100000,10,petrol,volkswagen,no
private,offer,34000,test,cabrio,2006,automatic,387,sl,50000,6,petrol,mercedes_benz,no
private,offer,950,test,small car,2001,manual,50,arosa,150000,8,petrol,seat,no
private,offer,3650,test,station wagon,2008,manual,65,clio,125000,8,diesel,renault,no
private,offer,1699,control,station wagon,2001,manual,102,megane,100000,4,diesel,renault,no
private,offer,4750,control,small car,2009,manual,60,2_reihe,90000,10,petrol,peugeot,no
private,offer,2450,test,limousine,1997,manual,170,3er,150000,0,petrol,bmw,no
private,offer,1250,control,small car,2002,manual,50,arosa,125000,11,petrol,seat,no
private,offer,7450,control,station wagon,2006,manual,140,a4,150000,12,diesel,audi,no
private,offer,999,test,others,1999,manual,60,combo,150000,10,petrol,opel,no
private,offer,1999,control,limousine,1994,manual,88,corolla,40000,9,petrol,toyota,no
private,offer,4500,test,small car,2006,manual,80,corsa,70000,8,petrol,opel,no
private,offer,6990,test,small car,2011,manual,60,fiesta,40000,6,petrol,ford,no
private,offer,1500,test,small car,2002,manual,54,fortwo,125000,6,petrol,smart,no
private,offer,999,test,limousine,1999,manual,107,scenic,150000,9,petrol,renault,no
private,offer,2450,control,limousine,2017,automatic,90,golf,150000,7,petrol,volkswagen,no
private,offer,3000,test,limousine,1999,automatic,306,s_klasse,150000,10,petrol,mercedes_benz,no
private,offer,1650,test,limousine,2001,automatic,75,a_klasse,150000,1,petrol,mercedes_benz,no
private,offer,11999,test,limousine,2010,manual,120,a4,100000,3,petrol,audi,no
private,offer,2990,test,small car,2000,manual,60,polo,100000,9,petrol,volkswagen,no
private,offer,7300,control,small car,2012,manual,84,others,80000,3,petrol,mazda,no
private,offer,15900,control,limousine,2007,manual,265,others,150000,9,petrol,audi,no
private,offer,999,control,small car,2001,automatic,41,fortwo,150000,12,diesel,smart,no
private,offer,1150,control,limousine,2018,manual,75,golf,150000,0,petrol,volkswagen,no
private,offer,1600,control,small car,1988,manual,26,601,90000,8,petrol,trabant,no
private,offer,2200,test,cabrio,1999,manual,75,golf,150000,5,petrol,volkswagen,no
private,offer,5700,control,station wagon,2007,manual,105,caddy,150000,5,diesel,volkswagen,no
private,offer,1222,test,station wagon,1998,manual,101,a4,150000,4,petrol,audi,no
private,offer,3400,control,coupe,2000,manual,143,others,150000,5,petrol,toyota,no
private,offer,9999,control,limousine,2016,automatic,110,c_max,70000,10,diesel,ford,no
private,offer,9400,test,limousine,2003,automatic,170,5er,50000,9,petrol,bmw,no
private,offer,8450,test,cabrio,2003,automatic,197,clk,150000,4,petrol,mercedes_benz,no
private,offer,4400,test,station wagon,2007,manual,75,fabia,80000,5,petrol,skoda,no
private,offer,10900,control,cabrio,2006,manual,220,c_reihe,150000,9,petrol,volvo,no
private,offer,32000,control,coupe,2011,automatic,306,3er,60000,3,petrol,bmw,no
private,offer,6250,test,cabrio,2001,automatic,197,clk,150000,5,petrol,mercedes_benz,no
private,offer,1800,control,small car,2000,manual,76,others,70000,7,petrol,suzuki,no
private,offer,1000,control,limousine,1998,manual,101,golf,150000,10,petrol,volkswagen,no
private,offer,850,test,small car,2000,manual,68,yaris,150000,6,petrol,toyota,no
private,offer,2500,test,small car,2004,manual,60,fiesta,40000,12,petrol,ford,yes
private,offer,8800,test,limousine,2005,manual,129,3er,150000,7,petrol,bmw,no
private,offer,18250,control,limousine,2012,manual,160,beetle,30000,4,petrol,volkswagen,no
private,offer,5000,test,small car,1997,manual,150,tigra,100000,9,petrol,opel,no
private,offer,1150,test,small car,2003,manual,58,twingo,150000,10,petrol,renault,no
private,offer,399,control,limousine,2016,manual,60,fiesta,150000,5,petrol,ford,no
private,offer,2790,test,limousine,2002,manual,116,passat,150000,10,petrol,volkswagen,no
private,offer,3800,control,small car,2002,manual,125,transporter,150000,1,diesel,volkswagen,no
private,offer,1100,test,small car,2002,manual,58,others,150000,3,petrol,hyundai,no
private,offer,3990,control,limousine,2017,manual,140,golf,150000,0,diesel,volkswagen,no
private,offer,18500,test,bus,2003,manual,174,transporter,150000,5,diesel,volkswagen,no
private,offer,5750,test,small car,2007,manual,80,polo,150000,7,petrol,volkswagen,no
private,offer,6499,control,small car,2009,manual,86,ibiza,90000,12,petrol,seat,no
private,offer,16500,control,limousine,2010,automatic,150,5er,150000,11,diesel,bmw,no
private,offer,23499,test,suv,2014,manual,110,tiguan,30000,8,diesel,volkswagen,no
private,offer,3800,test,cabrio,2002,manual,136,2_reihe,150000,8,petrol,peugeot,no
private,offer,10950,test,limousine,2008,manual,170,3er,150000,2,petrol,bmw,no
private,offer,15450,control,limousine,2011,manual,150,qashqai,30000,10,diesel,nissan,no
private,offer,8750,control,cabrio,2006,manual,116,cooper,150000,10,petrol,mini,no
private,offer,2700,control,bus,2007,manual,140,s_max,150000,2,diesel,ford,yes
private,offer,3450,test,limousine,2002,manual,105,toledo,150000,1,petrol,seat,no
private,offer,9990,control,bus,2005,manual,131,transporter,150000,4,diesel,volkswagen,no
private,offer,600,control,limousine,1999,manual,125,carisma,150000,6,petrol,mitsubishi,no
private,offer,1590,test,small car,2000,manual,50,polo,150000,10,petrol,volkswagen,no
private,offer,2300,test,small car,2003,manual,75,twingo,70000,11,petrol,renault,no
private,offer,4500,test,small car,2011,manual,75,twingo,70000,11,petrol,renault,no
private,offer,799,test,small car,1997,manual,60,ka,125000,10,petrol,ford,yes
private,offer,2000,control,limousine,2000,manual,150,golf,150000,1,petrol,volkswagen,no
private,offer,700,control,small car,1994,manual,50,fiesta,150000,4,petrol,ford,no
private,offer,1580,control,small car,1997,manual,101,a3,150000,10,petrol,audi,no
private,offer,1700,control,limousine,1997,automatic,170,5er,150000,7,petrol,bmw,no
private,offer,3500,test,limousine,2004,manual,140,golf,150000,1,diesel,volkswagen,no
private,offer,800,control,limousine,2016,automatic,170,mondeo,150000,12,petrol,ford,no
private,offer,12500,control,bus,2007,automatic,224,others,150000,1,diesel,mercedes_benz,no
private,offer,9500,test,station wagon,2006,automatic,140,a3,150000,1,diesel,audi,no
private,offer,750,test,small car,1999,manual,50,golf,150000,7,petrol,volkswagen,no
private,offer,8600,control,bus,2009,manual,150,zafira,125000,11,cng,opel,no
private,offer,8600,control,station wagon,2009,automatic,143,a4,150000,5,petrol,audi,yes
private,offer,5690,control,small car,2002,manual,75,a2,100000,6,petrol,audi,no
private,offer,8900,control,bus,1999,manual,102,transporter,150000,10,diesel,volkswagen,no
private,offer,3600,test,suv,1997,manual,70,others,60000,5,petrol,suzuki,no
private,offer,3899,test,cabrio,2002,automatic,61,fortwo,30000,4,petrol,smart,no
private,offer,1700,test,coupe,1999,automatic,270,3er,150000,0,petrol,bmw,yes
private,offer,9999,test,bus,2007,manual,170,touran,150000,2,diesel,volkswagen,no
private,offer,490,control,small car,1996,automatic,75,fiesta,60000,11,petrol,ford,no
private,offer,8000,control,cabrio,2007,automatic,84,others,40000,0,petrol,smart,no
private,offer,13300,test,limousine,2009,manual,143,a4,125000,9,diesel,audi,no
private,offer,400,test,station wagon,1998,manual,99,primera,150000,5,petrol,nissan,no
private,offer,5000,control,bus,2002,manual,116,sharan,150000,2,diesel,volkswagen,no
private,offer,2500,control,bus,2003,manual,86,transit,150000,8,diesel,ford,no
private,offer,2000,test,limousine,2016,manual,99,others,150000,0,diesel,nissan,no
private,offer,1699,test,coupe,1998,automatic,223,clk,150000,5,petrol,mercedes_benz,no
private,offer,750,test,limousine,1998,manual,116,vectra,150000,6,petrol,opel,no
private,offer,2222,control,cabrio,1997,manual,150,golf,150000,8,petrol,bmw,no
private,offer,1099,test,small car,2004,manual,68,fiesta,150000,8,diesel,ford,no
private,offer,7900,test,station wagon,2005,manual,105,a3,150000,7,diesel,audi,no
private,offer,8450,test,limousine,2004,automatic,218,x_reihe,150000,4,diesel,bmw,yes
private,offer,550,control,station wagon,1997,manual,150,golf,150000,3,petrol,audi,no
private,offer,1250,control,limousine,1999,manual,150,golf,125000,3,petrol,alfa_romeo,no
private,offer,1600,control,station wagon,2003,manual,120,primera,150000,7,diesel,nissan,no
private,offer,24300,control,bus,2012,manual,140,sharan,70000,1,diesel,volkswagen,no
private,offer,4200,test,limousine,2007,automatic,140,passat,150000,7,diesel,volkswagen,no
private,offer,2850,control,station wagon,2002,manual,143,3er,150000,12,petrol,bmw,no
private,offer,23000,test,coupe,2010,manual,239,a5,125000,10,diesel,audi,no
private,offer,18900,control,cabrio,2010,manual,200,tt,80000,2,petrol,audi,no
private,offer,6500,test,small car,2014,manual,60,citigo,10000,11,petrol,skoda,no
private,offer,3300,test,bus,2002,manual,130,espace,150000,4,diesel,renault,no
private,offer,6990,test,suv,2007,manual,141,tucson,100000,11,petrol,hyundai,no
private,offer,1500,test,station wagon,1996,manual,125,a4,150000,8,petrol,audi,no
private,offer,4999,test,limousine,2003,manual,150,golf,150000,0,diesel,bmw,no
private,offer,12500,test,station wagon,2010,automatic,140,passat,150000,5,diesel,volkswagen,no
private,offer,350,test,station wagon,1997,manual,90,golf,150000,1,petrol,volkswagen,no
private,offer,14900,control,cabrio,2005,manual,280,others,60000,3,petrol,nissan,no
private,offer,1499,control,small car,2002,manual,75,clio,150000,4,petrol,renault,no
private,offer,3000,control,station wagon,2007,manual,80,fabia,150000,5,petrol,skoda,yes
private,offer,1800,control,small car,2004,manual,102,golf,125000,6,petrol,volkswagen,yes
private,offer,3400,control,limousine,2003,automatic,193,passat,150000,0,petrol,volkswagen,no
private,offer,450,test,small car,1997,manual,55,polo,125000,5,petrol,volkswagen,no
private,offer,800,control,limousine,1997,manual,136,accord,150000,2,petrol,honda,no
private,offer,2490,control,station wagon,2001,manual,125,passat,150000,1,petrol,volkswagen,no
private,offer,1550,control,station wagon,2001,manual,105,golf,150000,7,petrol,volkswagen,no
private,offer,999,test,station wagon,2001,manual,101,vectra,150000,12,petrol,opel,no
private,offer,17999,test,suv,2010,automatic,150,rav,80000,8,diesel,toyota,no
private,offer,5000,test,limousine,2007,manual,109,c_max,150000,10,diesel,ford,no
private,offer,2450,test,small car,2002,manual,75,a2,150000,4,diesel,audi,yes
private,offer,13100,test,bus,2011,manual,140,touran,80000,4,petrol,volkswagen,no
private,offer,4999,control,station wagon,2003,manual,250,156,150000,0,petrol,alfa_romeo,no
private,offer,1000,test,limousine,1991,manual,192,5er,150000,3,lpg,bmw,no
private,offer,390,test,limousine,1990,manual,90,80,150000,7,petrol,audi,no
private,offer,5299,control,limousine,2004,manual,105,golf,150000,11,diesel,volkswagen,no
private,offer,2799,control,station wagon,2002,manual,101,passat,150000,11,diesel,volkswagen,no
private,offer,5699,test,limousine,2008,manual,77,punto,60000,8,lpg,fiat,no
private,offer,18900,control,station wagon,2008,automatic,235,5er,125000,4,diesel,bmw,no
private,offer,3500,control,limousine,2007,manual,109,a_klasse,150000,2,diesel,mercedes_benz,no
private,offer,3800,test,limousine,2007,manual,122,i_reihe,150000,8,petrol,hyundai,no
private,offer,750,control,small car,2002,manual,58,twingo,150000,7,petrol,renault,no
private,offer,190,control,station wagon,1998,manual,90,laguna,150000,4,petrol,renault,no
private,offer,150,control,coupe,1997,manual,100,3er,150000,2,petrol,bmw,no
private,offer,5300,test,cabrio,2003,automatic,82,roadster,125000,12,petrol,smart,no
private,offer,22900,control,coupe,2011,automatic,170,others,90000,6,diesel,mercedes_benz,no
private,offer,9050,control,limousine,2016,manual,86,rio,20000,11,petrol,kia,no
private,offer,2600,control,limousine,2000,manual,118,3er,150000,1,petrol,bmw,no
private,offer,6500,test,cabrio,2008,manual,90,tigra,100000,9,petrol,opel,no
private,offer,2450,test,bus,2001,manual,116,sharan,150000,7,diesel,volkswagen,no
private,offer,31900,test,limousine,2010,automatic,275,others,90000,10,diesel,jaguar,no
private,offer,1900,test,station wagon,2002,automatic,116,laguna,150000,10,lpg,renault,no
