seller,offerType,price,abtest,vehicleType,gearbox,powerPS,model,kilometer,fuelType,brand,notRepairedDamage,Age
private,offer,500,control,limousine,automatic,150,a6,150000,petrol,audi,yes,23.33
private,offer,1950,control,small car,automatic,54,fortwo,125000,petrol,smart,no,18.75
private,offer,3950,test,limousine,manual,143,3er,150000,petrol,bmw,no,0.42
private,offer,12600,test,coupe,manual,122,scirocco,50000,petrol,volkswagen,no,6.17
private,offer,800,control,bus,manual,60,transporter,150000,diesel,volkswagen,no,24.83
private,offer,13500,test,limousine,manual,105,golf,150000,diesel,volkswagen,no,6.25
private,offer,4950,control,bus,manual,105,touran,150000,diesel,volkswagen,no,14.83
private,offer,2600,test,coupe,manual,109,c4,150000,petrol,citroen,no,12.58
private,offer,5400,control,limousine,manual,150,3er,150000,diesel,bmw,no,16.33
private,offer,18999,control,bus,manual,131,transporter,150000,diesel,volkswagen,no,11.42
private,offer,3990,test,limousine,manual,54,polo,150000,petrol,volkswagen,no,2.33
private,offer,8000,control,limousine,manual,141,qashqai,125000,petrol,nissan,no,11.33
private,offer,199,control,small car,manual,60,ka,150000,petrol,ford,yes,17.17
private,offer,17777,control,station wagon,manual,184,clubman,40000,petrol,mini,no,6.25
private,offer,4950,control,bus,manual,115,sharan,150000,diesel,volkswagen,no,15.92
private,offer,3100,test,suv,manual,124,others,150000,petrol,ford,no,15.17
private,offer,7777,test,small car,manual,18,500,10000,petrol,fiat,no,46.25
private,offer,3990,test,station wagon,manual,143,3er,150000,petrol,bmw,no,14.33
private,offer,1480,control,station wagon,manual,75,astra,150000,petrol,opel,no,22.0
private,offer,600,test,limousine,manual,75,80,150000,petrol,audi,no,29.0
private,offer,2399,test,limousine,manual,111,scenic,150000,petrol,renault,no,13.75
private,offer,8200,control,limousine,manual,250,others,70000,petrol,saab,no,14.83
private,offer,14999,control,cabrio,manual,177,1er,150000,diesel,bmw,no,10.33
private,offer,750,test,small car,manual,122,others,150000,petrol,ford,no,19.67
private,offer,15900,test,limousine,automatic,116,a_klasse,40000,petrol,mercedes_benz,no,8.0
private,offer,1650,test,limousine,manual,101,golf,150000,petrol,volkswagen,no,1.33
private,offer,7500,test,limousine,automatic,160,insignia,40000,diesel,opel,no,7.83
private,offer,600,test,small car,manual,75,clio,150000,petrol,renault,no,19.08
private,offer,41900,test,limousine,automatic,310,others,40000,petrol,audi,no,4.25
private,offer,5900,test,limousine,automatic,184,7er,150000,diesel,bmw,no,19.83
private,offer,2500,control,small car,manual,86,clio,150000,diesel,renault,no,12.33
private,offer,1750,control,station wagon,manual,101,golf,150000,diesel,volkswagen,no,14.92
private,offer,7500,test,station wagon,manual,180,golf,150000,petrol,audi,no,14.83
private,offer,15600,test,limousine,manual,86,golf,20000,petrol,volkswagen,no,3.17
private,offer,11300,control,bus,manual,111,3_reihe,70000,diesel,peugeot,no,6.17
private,offer,3000,control,bus,automatic,107,scenic,90000,petrol,renault,no,16.0
private,offer,8500,test,limousine,manual,218,3er,150000,petrol,bmw,yes,14.0
private,offer,1050,control,small car,manual,80,punto,150000,petrol,fiat,no,17.58
private,offer,850,test,limousine,manual,75,megane,150000,petrol,renault,no,20.25
private,offer,1000,control,small car,manual,50,clio,150000,petrol,renault,no,19.5
private,offer,1290,control,limousine,manual,125,a4,150000,petrol,audi,no,22.08
private,offer,1999,test,station wagon,manual,125,passat,150000,petrol,volkswagen,no,20.5
private,offer,1500,control,limousine,manual,75,kadett,150000,petrol,opel,no,23.0
private,offer,5600,test,small car,manual,160,ibiza,150000,diesel,seat,no,12.5
private,offer,2699,test,small car,manual,101,corsa,150000,diesel,opel,no,14.75
private,offer,3999,control,limousine,automatic,150,passat,150000,petrol,volkswagen,yes,12.92
private,offer,11500,control,station wagon,automatic,224,a6,150000,diesel,audi,no,13.75
private,offer,550,control,small car,manual,65,corsa,150000,petrol,opel,yes,18.33
private,offer,2500,test,small car,manual,58,corsa,125000,petrol,opel,no,15.42
private,offer,4500,control,limousine,manual,116,1er,150000,petrol,bmw,yes,13.67
private,offer,800,test,bus,manual,150,voyager,150000,petrol,chrysler,no,21.5
private,offer,7500,control,station wagon,manual,150,a4,125000,petrol,audi,no,16.08
private,offer,2200,test,coupe,manual,90,others,150000,petrol,toyota,no,22.42
private,offer,300,test,limousine,manual,102,3er,150000,petrol,bmw,no,23.5
private,offer,1390,test,small car,manual,60,arosa,150000,diesel,seat,no,16.08
private,offer,4850,control,limousine,manual,145,focus,150000,petrol,ford,no,1.5
private,offer,13500,control,station wagon,automatic,140,passat,100000,diesel,volkswagen,no,7.25
private,offer,1550,control,station wagon,manual,116,a4,150000,diesel,audi,no,17.33
private,offer,5100,test,small car,manual,60,fiesta,100000,petrol,ford,no,9.42
private,offer,13800,control,cabrio,automatic,231,z_reihe,70000,petrol,bmw,no,15.33
private,offer,2450,test,bus,manual,69,transporter,150000,diesel,volkswagen,no,29.92
private,offer,1900,control,small car,manual,58,corsa,150000,petrol,opel,no,16.75
private,offer,7999,control,station wagon,automatic,122,c_klasse,150000,diesel,mercedes_benz,no,10.17
private,offer,29990,control,limousine,automatic,204,e_klasse,50000,diesel,mercedes_benz,no,5.92
private,offer,4650,test,station wagon,manual,177,e_klasse,150000,diesel,mercedes_benz,yes,15.83
private,offer,11990,test,station wagon,manual,86,caddy,60000,petrol,volkswagen,no,7.5
private,offer,10000,test,bus,manual,174,transporter,150000,diesel,volkswagen,no,14.17
private,offer,450,test,limousine,manual,46,others,150000,diesel,peugeot,yes,2.25
private,offer,2799,test,small car,manual,68,aygo,125000,petrol,toyota,yes,12.33
private,offer,799,test,small car,manual,65,matiz,90000,petrol,chevrolet,yes,10.67
private,offer,2800,control,limousine,automatic,125,a4,90000,petrol,audi,no,22.92
private,offer,9300,test,station wagon,manual,105,golf,125000,diesel,volkswagen,no,8.83
private,offer,1000,test,coupe,manual,90,others,150000,petrol,ford,no,19.83
private,offer,875,test,station wagon,manual,116,focus,150000,petrol,ford,no,18.42
private,offer,10600,control,limousine,manual,105,golf,100000,petrol,volkswagen,no,8.83
private,offer,34000,test,cabrio,automatic,387,sl,50000,petrol,mercedes_benz,no,12.5
private,offer,950,test,small car,manual,50,arosa,150000,petrol,seat,no,17.67
private,offer,3650,test,station wagon,manual,65,clio,125000,diesel,renault,no,10.67
private,offer,1699,control,station wagon,manual,102,megane,100000,diesel,renault,no,17.33
private,offer,4750,control,small car,manual,60,2_reihe,90000,petrol,peugeot,no,9.83
private,offer,2450,test,limousine,manual,170,3er,150000,petrol,bmw,no,21.0
private,offer,1250,control,small car,manual,50,arosa,125000,petrol,seat,no,16.92
private,offer,7450,control,station wagon,manual,140,a4,150000,diesel,audi,no,13.0
private,offer,999,test,others,manual,60,combo,150000,petrol,opel,no,19.83
private,offer,1999,control,limousine,manual,88,corolla,40000,petrol,toyota,no,24.75
private,offer,4500,test,small car,manual,80,corsa,70000,petrol,opel,no,12.67
private,offer,6990,test,small car,manual,60,fiesta,40000,petrol,ford,no,7.5
private,offer,1500,test,small car,manual,54,fortwo,125000,petrol,smart,no,16.5
private,offer,999,test,limousine,manual,107,scenic,150000,petrol,renault,no,19.75
private,offer,2450,control,limousine,automatic,90,golf,150000,petrol,volkswagen,no,1.58
private,offer,3000,test,limousine,automatic,306,s_klasse,150000,petrol,mercedes_benz,no,19.83
private,offer,1650,test,limousine,automatic,75,a_klasse,150000,petrol,mercedes_benz,no,17.08
private,offer,11999,test,limousine,manual,120,a4,100000,petrol,audi,no,8.25
private,offer,2990,test,small car,manual,60,polo,100000,petrol,volkswagen,no,18.75
private,offer,7300,control,small car,manual,84,others,80000,petrol,mazda,no,6.25
private,offer,15900,control,limousine,manual,265,others,150000,petrol,audi,no,11.75
private,offer,999,control,small car,automatic,41,fortwo,150000,diesel,smart,no,18.0
private,offer,1150,control,limousine,manual,75,golf,150000,petrol,volkswagen,no,0.0
private,offer,1600,control,small car,manual,26,601,90000,petrol,trabant,no,30.67
private,offer,2200,test,cabrio,manual,75,golf,150000,petrol,volkswagen,no,19.42
private,offer,5700,control,station wagon,manual,105,caddy,150000,diesel,volkswagen,no,11.42
private,offer,1222,test,station wagon,manual,101,a4,150000,petrol,audi,no,20.33
private,offer,3400,control,coupe,manual,143,others,150000,petrol,toyota,no,18.42
private,offer,9999,control,limousine,automatic,110,c_max,70000,diesel,ford,no,2.83
private,offer,9400,test,limousine,automatic,170,5er,50000,petrol,bmw,no,15.75
private,offer,8450,test,cabrio,automatic,197,clk,150000,petrol,mercedes_benz,no,15.33
private,offer,4400,test,station wagon,manual,75,fabia,80000,petrol,skoda,no,11.42
private,offer,10900,control,cabrio,manual,220,c_reihe,150000,petrol,volvo,no,12.75
private,offer,32000,control,coupe,automatic,306,3er,60000,petrol,bmw,no,7.25
private,offer,6250,test,cabrio,automatic,197,clk,150000,petrol,mercedes_benz,no,17.42
private,offer,1800,control,small car,manual,76,others,70000,petrol,suzuki,no,18.58
private,offer,1000,control,limousine,manual,101,golf,150000,petrol,volkswagen,no,20.83
private,offer,850,test,small car,manual,68,yaris,150000,petrol,toyota,no,18.5
private,offer,2500,test,small car,manual,60,fiesta,40000,petrol,ford,yes,15.0
private,offer,8800,test,limousine,manual,129,3er,150000,petrol,bmw,no,13.58
private,offer,18250,control,limousine,manual,160,beetle,30000,petrol,volkswagen,no,6.33
private,offer,5000,test,small car,manual,150,tigra,100000,petrol,opel,no,21.75
private,offer,1150,test,small car,manual,58,twingo,150000,petrol,renault,no,15.83
private,offer,399,control,limousine,manual,60,fiesta,150000,petrol,ford,no,2.42
private,offer,2790,test,limousine,manual,116,passat,150000,petrol,volkswagen,no,16.83
private,offer,3800,control,small car,manual,125,transporter,150000,diesel,volkswagen,no,16.08
private,offer,1100,test,small car,manual,58,others,150000,petrol,hyundai,no,16.25
private,offer,3990,control,limousine,manual,140,golf,150000,diesel,volkswagen,no,1.0
private,offer,18500,test,bus,manual,174,transporter,150000,diesel,volkswagen,no,15.42
private,offer,5750,test,small car,manual,80,polo,150000,petrol,volkswagen,no,11.58
private,offer,6499,control,small car,manual,86,ibiza,90000,petrol,seat,no,10.0
private,offer,16500,control,limousine,automatic,150,5er,150000,diesel,bmw,no,8.92
private,offer,23499,test,suv,manual,110,tiguan,30000,diesel,volkswagen,no,4.67
private,offer,3800,test,cabrio,manual,136,2_reihe,150000,petrol,peugeot,no,16.67
private,offer,10950,test,limousine,manual,170,3er,150000,petrol,bmw,no,10.17
private,offer,15450,control,limousine,manual,150,qashqai,30000,diesel,nissan,no,7.83
private,offer,8750,control,cabrio,manual,116,cooper,150000,petrol,mini,no,12.83
private,offer,2700,control,bus,manual,140,s_max,150000,diesel,ford,yes,11.17
private,offer,3450,test,limousine,manual,105,toledo,150000,petrol,seat,no,16.08
private,offer,9990,control,bus,manual,131,transporter,150000,diesel,volkswagen,no,13.33
private,offer,600,control,limousine,manual,125,carisma,150000,petrol,mitsubishi,no,19.5
private,offer,1590,test,small car,manual,50,polo,150000,petrol,volkswagen,no,18.83
private,offer,2300,test,small car,manual,75,twingo,70000,petrol,renault,no,15.92
private,offer,4500,test,small car,manual,75,twingo,70000,petrol,renault,no,7.92
private,offer,799,test,small car,manual,60,ka,125000,petrol,ford,yes,21.83
private,offer,2000,control,limousine,manual,150,golf,150000,petrol,volkswagen,no,18.08
private,offer,700,control,small car,manual,50,fiesta,150000,petrol,ford,no,24.33
private,offer,1580,control,small car,manual,101,a3,150000,petrol,audi,no,21.83
private,offer,1700,control,limousine,automatic,170,5er,150000,petrol,bmw,no,21.58
private,offer,3500,test,limousine,manual,140,golf,150000,diesel,volkswagen,no,14.08
private,offer,800,control,limousine,automatic,170,mondeo,150000,petrol,ford,no,3.0
private,offer,12500,control,bus,automatic,224,others,150000,diesel,mercedes_benz,no,11.08
private,offer,9500,test,station wagon,automatic,140,a3,150000,diesel,audi,no,12.08
private,offer,750,test,small car,manual,50,golf,150000,petrol,volkswagen,no,19.58
private,offer,8600,control,bus,manual,150,zafira,125000,cng,opel,no,9.92
private,offer,8600,control,station wagon,automatic,143,a4,150000,petrol,audi,yes,9.42
private,offer,5690,control,small car,manual,75,a2,100000,petrol,audi,no,16.5
private,offer,8900,control,bus,manual,102,transporter,150000,diesel,volkswagen,no,19.83
private,offer,3600,test,suv,manual,70,others,60000,petrol,suzuki,no,21.42
private,offer,3899,test,cabrio,automatic,61,fortwo,30000,petrol,smart,no,16.33
private,offer,1700,test,coupe,automatic,270,3er,150000,petrol,bmw,yes,19.0
private,offer,9999,test,bus,manual,170,touran,150000,diesel,volkswagen,no,11.17
private,offer,490,control,small car,automatic,75,fiesta,60000,petrol,ford,no,22.92
private,offer,8000,control,cabrio,automatic,84,others,40000,petrol,smart,no,11.0
private,offer,13300,test,limousine,manual,143,a4,125000,diesel,audi,no,9.75
private,offer,400,test,station wagon,manual,99,primera,150000,petrol,nissan,no,20.42
private,offer,5000,control,bus,manual,116,sharan,150000,diesel,volkswagen,no,16.17
private,offer,2500,control,bus,manual,86,transit,150000,diesel,ford,no,15.67
private,offer,2000,test,limousine,manual,99,others,150000,diesel,nissan,no,2.0
private,offer,1699,test,coupe,automatic,223,clk,150000,petrol,mercedes_benz,no,20.42
private,offer,750,test,limousine,manual,116,vectra,150000,petrol,opel,no,20.5
private,offer,2222,control,cabrio,manual,150,golf,150000,petrol,bmw,no,21.67
private,offer,1099,test,small car,manual,68,fiesta,150000,diesel,ford,no,14.67
private,offer,7900,test,station wagon,manual,105,a3,150000,diesel,audi,no,13.58
private,offer,8450,test,limousine,automatic,218,x_reihe,150000,diesel,bmw,yes,14.33
private,offer,550,control,station wagon,manual,150,golf,150000,petrol,audi,no,21.25
private,offer,1250,control,limousine,manual,150,golf,125000,petrol,alfa_romeo,no,19.25
private,offer,1600,control,station wagon,manual,120,primera,150000,diesel,nissan,no,15.58
private,offer,24300,control,bus,manual,140,sharan,70000,diesel,volkswagen,no,6.08
private,offer,4200,test,limousine,automatic,140,passat,150000,diesel,volkswagen,no,11.58
private,offer,2850,control,station wagon,manual,143,3er,150000,petrol,bmw,no,17.0
private,offer,23000,test,coupe,manual,239,a5,125000,diesel,audi,no,8.83
private,offer,18900,control,cabrio,manual,200,tt,80000,petrol,audi,no,8.17
private,offer,6500,test,small car,manual,60,citigo,10000,petrol,skoda,no,4.92
private,offer,3300,test,bus,manual,130,espace,150000,diesel,renault,no,16.33
private,offer,6990,test,suv,manual,141,tucson,100000,petrol,hyundai,no,11.92
private,offer,1500,test,station wagon,manual,125,a4,150000,petrol,audi,no,22.67
private,offer,4999,test,limousine,manual,150,golf,150000,diesel,bmw,no,15.0
private,offer,12500,test,station wagon,automatic,140,passat,150000,diesel,volkswagen,no,8.42
private,offer,350,test,station wagon,manual,90,golf,150000,petrol,volkswagen,no,21.08
private,offer,14900,control,cabrio,manual,280,others,60000,petrol,nissan,no,13.25
private,offer,1499,control,small car,manual,75,clio,150000,petrol,renault,no,16.33
private,offer,3000,control,station wagon,manual,80,fabia,150000,petrol,skoda,yes,11.42
private,offer,1800,control,small car,manual,102,golf,125000,petrol,volkswagen,yes,14.5
private,offer,3400,control,limousine,automatic,193,passat,150000,petrol,volkswagen,no,15.0
private,offer,450,test,small car,manual,55,polo,125000,petrol,volkswagen,no,21.42
private,offer,800,control,limousine,manual,136,accord,150000,petrol,honda,no,21.17
private,offer,2490,control,station wagon,manual,125,passat,150000,petrol,volkswagen,no,17.08
private,offer,1550,control,station wagon,manual,105,golf,150000,petrol,volkswagen,no,17.58
private,offer,999,test,station wagon,manual,101,vectra,150000,petrol,opel,no,18.0
private,offer,17999,test,suv,automatic,150,rav,80000,diesel,toyota,no,8.67
private,offer,5000,test,limousine,manual,109,c_max,150000,diesel,ford,no,11.83
private,offer,2450,test,small car,manual,75,a2,150000,diesel,audi,yes,16.33
private,offer,13100,test,bus,manual,140,touran,80000,petrol,volkswagen,no,7.33
private,offer,4999,control,station wagon,manual,250,156,150000,petrol,alfa_romeo,no,15.0
private,offer,1000,test,limousine,manual,192,5er,150000,lpg,bmw,no,27.25
private,offer,390,test,limousine,manual,90,80,150000,petrol,audi,no,28.58
private,offer,5299,control,limousine,manual,105,golf,150000,diesel,volkswagen,no,14.92
private,offer,2799,control,station wagon,manual,101,passat,150000,diesel,volkswagen,no,16.92
private,offer,5699,test,limousine,manual,77,punto,60000,lpg,fiat,no,10.67
private,offer,18900,control,station wagon,automatic,235,5er,125000,diesel,bmw,no,10.33
private,offer,3500,control,limousine,manual,109,a_klasse,150000,diesel,mercedes_benz,no,11.17
private,offer,3800,test,limousine,manual,122,i_reihe,150000,petrol,hyundai,no,11.67
private,offer,750,control,small car,manual,58,twingo,150000,petrol,renault,no,16.58
private,offer,190,control,station wagon,manual,90,laguna,150000,petrol,renault,no,20.33
private,offer,150,control,coupe,manual,100,3er,150000,petrol,bmw,no,21.17
private,offer,5300,test,cabrio,automatic,82,roadster,125000,petrol,smart,no,16.0
private,offer,22900,control,coupe,automatic,170,others,90000,diesel,mercedes_benz,no,7.5
private,offer,9050,control,limousine,manual,86,rio,20000,petrol,kia,no,2.92
private,offer,2600,control,limousine,manual,118,3er,150000,petrol,bmw,no,18.08
private,offer,6500,test,cabrio,manual,90,tigra,100000,petrol,opel,no,10.75
private,offer,2450,test,bus,manual,116,sharan,150000,diesel,volkswagen,no,17.58
private,offer,31900,test,limousine,automatic,275,others,90000,diesel,jaguar,no,8.83
private,offer,1900,test,station wagon,automatic,116,laguna,150000,lpg,renault,no,16.83
private,offer,550,control,limousine,manual,125,carisma,150000,petrol,mitsubishi,no,19.33
private,offer,1690,test,others,manual,94,others,150000,diesel,fiat,no,18.42
private,offer,1400,test,limousine,manual,101,bora,150000,petrol,volkswagen,yes,19.75
private,offer,32900,control,bus,manual,150,others,5000,diesel,bmw,no,2.25
private,offer,17850,test,suv,manual,200,kuga,70000,petrol,ford,no,7.42
private,offer,950,test,limousine,manual,116,147,150000,diesel,alfa_romeo,no,17.58
private,offer,2150,test,small car,manual,68,c1,150000,petrol,citroen,no,12.33
private,offer,550,control,small car,manual,60,corsa,150000,petrol,opel,no,20.25
private,offer,2990,control,cabrio,automatic,147,astra,150000,petrol,opel,no,16.17
